Char,Lang1,Lang2,Lang3,Lang4,Lang5,Char,Singular,Multi: 147,Slovak: 16,French: 327,Spanish: 103,German: 5,Polish: 15
í_ƒ,1,,,,,í_ƒ,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í¸„,1,2,,,,í¸„,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
Ä†,4,,,,,Ä†,4,FALSE,FALSE,FALSE,FALSE,FALSE,1
âœ_,1,,,,,âœ_,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
â‚¬,1,2,3,0,,â‚¬,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
â†‘,1,,,,,â†‘,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
ã€ê,1,,,,,ã€ê,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í_“,2,,,,,í_“,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
í¸”,1,,,,,í¸”,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í´_,1,,,,,í´_,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
â€ ,1,2,,,,â€ ,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
í_¥,1,,,,,í_¥,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í¸_,1,2,,,,í¸_,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
â„_,1,,,,,â„_,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Â«,1,3,2,4,,Â«,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
Ø_,1,,,,,Ø_,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
â€°,2,,,,,â€°,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
í_µ,1,,,,,í_µ,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í¸´,1,,,,,í¸´,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Â»,3,1,2,4,,Â»,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
Î_,2,,,,,Î_,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
íº¿,1,,,,,íº¿,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í_„,1,2,,,,í_„,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
Ë‡,0,,,,,Ë‡,0,FALSE,1,FALSE,FALSE,FALSE,FALSE
Ïç,2,,,,,Ïç,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
ÉŒ,1,,,,,ÉŒ,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
_ª,2,,,,,_ª,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
í±¨,1,,,,,í±¨,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Ã«,1,2,,,,Ã«,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
âœˆ,1,,,,,âœˆ,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Ã»,1,3,,,,Ã»,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
ï»¿,1,,,,,ï»¿,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Â€,1,,,,,Â€,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
âœ…,1,,,,,âœ…,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
â€‹,1,,,,,â€‹,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í__,1,,,,,í__,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í¸è,1,2,,,,í¸è,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
_“,1,,,,,_“,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í´™,1,,,,,í´™,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Êœ,2,,,,,Êœ,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
Ã„,3,1,2,,,Ã„,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
âœ¥,1,,,,,âœ¥,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í´©,1,,,,,í´©,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í¸¯,1,,,,,í¸¯,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Ä±,3,,,,,Ä±,3,FALSE,FALSE,FALSE,FALSE,1,FALSE
Â°,0,1,2,3,,Â°,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
í_º,1,,,,,í_º,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
